run,bn,heuristic,time
0,alarm,MN,0.001178
0,alarm,MW,1.3e-05
0,alarm,MF,1.4e-05
0,alarm,WMF,1.3e-05
0,alarm,PE,1.4e-05
1,alarm,MN,0.001144
1,alarm,MW,1.4e-05
1,alarm,MF,1.6e-05
1,alarm,WMF,1.6e-05
1,alarm,PE,1.7e-05
2,alarm,MN,0.001213
2,alarm,MW,1.4e-05
2,alarm,MF,1.4e-05
2,alarm,WMF,1.4e-05
2,alarm,PE,1.4e-05
3,alarm,MN,0.001225
3,alarm,MW,1.4e-05
3,alarm,MF,1.3e-05
3,alarm,WMF,1.4e-05
3,alarm,PE,1.3e-05
4,alarm,MN,0.001194
4,alarm,MW,1.5e-05
4,alarm,MF,1.4e-05
4,alarm,WMF,1.3e-05
4,alarm,PE,1.4e-05
5,alarm,MN,0.00118
5,alarm,MW,1.4e-05
5,alarm,MF,1.3e-05
5,alarm,WMF,1.3e-05
5,alarm,PE,1.4e-05
6,alarm,MN,0.001175
6,alarm,MW,1.7e-05
6,alarm,MF,1.7e-05
6,alarm,WMF,1.4e-05
6,alarm,PE,1.5e-05
7,alarm,MN,0.001193
7,alarm,MW,1.4e-05
7,alarm,MF,1.4e-05
7,alarm,WMF,1.3e-05
7,alarm,PE,1.4e-05
8,alarm,MN,0.00119
8,alarm,MW,1.4e-05
8,alarm,MF,1.4e-05
8,alarm,WMF,1.2e-05
8,alarm,PE,1.4e-05
9,alarm,MN,0.001182
9,alarm,MW,1.4e-05
9,alarm,MF,1.3e-05
9,alarm,WMF,4.7e-05
9,alarm,PE,3.8e-05
10,alarm,MN,0.001759
10,alarm,MW,1.8e-05
10,alarm,MF,1.7e-05
10,alarm,WMF,1.4e-05
10,alarm,PE,1.4e-05
11,alarm,MN,0.00121
11,alarm,MW,1.4e-05
11,alarm,MF,1.4e-05
11,alarm,WMF,1.3e-05
11,alarm,PE,1.3e-05
12,alarm,MN,0.001199
12,alarm,MW,1.4e-05
12,alarm,MF,1.4e-05
12,alarm,WMF,1.5e-05
12,alarm,PE,1.2e-05
