run,bn,heuristic,time
0,asia,MN,0.001176
0,asia,MW,9e-06
0,asia,MF,8e-06
0,asia,WMF,7e-06
0,asia,PE,6e-06
1,asia,MN,0.000238
1,asia,MW,8e-06
1,asia,MF,7e-06
1,asia,WMF,7e-06
1,asia,PE,6e-06
2,asia,MN,0.000233
2,asia,MW,8e-06
2,asia,MF,7e-06
2,asia,WMF,7e-06
2,asia,PE,7e-06
3,asia,MN,0.000233
3,asia,MW,8e-06
3,asia,MF,6e-06
3,asia,WMF,7e-06
3,asia,PE,6e-06
4,asia,MN,0.000231
4,asia,MW,7e-06
4,asia,MF,1.2e-05
4,asia,WMF,8e-06
4,asia,PE,7e-06
5,asia,MN,0.00028
5,asia,MW,8e-06
5,asia,MF,6e-06
5,asia,WMF,4.1e-05
5,asia,PE,1.2e-05
6,asia,MN,0.000479
6,asia,MW,3.8e-05
6,asia,MF,1.1e-05
6,asia,WMF,1e-05
6,asia,PE,8e-06
7,asia,MN,0.000434
7,asia,MW,9e-06
7,asia,MF,1.3e-05
7,asia,WMF,8e-06
7,asia,PE,1.5e-05
8,asia,MN,0.000297
8,asia,MW,2e-05
8,asia,MF,8e-06
8,asia,WMF,8e-06
8,asia,PE,7e-06
9,asia,MN,0.00027
9,asia,MW,9e-06
9,asia,MF,1.4e-05
9,asia,WMF,1e-05
9,asia,PE,8e-06
10,asia,MN,0.000238
10,asia,MW,8e-06
10,asia,MF,6e-06
10,asia,WMF,6e-06
10,asia,PE,8e-06
11,asia,MN,0.000232
11,asia,MW,7e-06
11,asia,MF,7e-06
11,asia,WMF,7e-06
11,asia,PE,1e-05
12,asia,MN,0.000262
12,asia,MW,1e-05
12,asia,MF,1.1e-05
12,asia,WMF,9e-06
12,asia,PE,6e-06
13,asia,MN,0.000278
13,asia,MW,8e-06
13,asia,MF,7e-06
13,asia,WMF,6e-06
13,asia,PE,8e-06
14,asia,MN,0.000236
14,asia,MW,8e-06
14,asia,MF,7e-06
14,asia,WMF,7e-06
14,asia,PE,6e-06
15,asia,MN,0.000232
15,asia,MW,7e-06
15,asia,MF,7e-06
15,asia,WMF,7e-06
15,asia,PE,8e-06
16,asia,MN,0.000232
16,asia,MW,7e-06
16,asia,MF,7e-06
16,asia,WMF,7e-06
16,asia,PE,6e-06
17,asia,MN,0.000233
17,asia,MW,7e-06
17,asia,MF,8e-06
17,asia,WMF,8e-06
17,asia,PE,6e-06
18,asia,MN,0.000231
18,asia,MW,7e-06
18,asia,MF,6e-06
18,asia,WMF,6e-06
18,asia,PE,7e-06
19,asia,MN,0.00023
19,asia,MW,7e-06
19,asia,MF,6e-06
19,asia,WMF,8e-06
19,asia,PE,7e-06
20,asia,MN,0.000231
20,asia,MW,7e-06
20,asia,MF,7e-06
20,asia,WMF,7e-06
20,asia,PE,7e-06
21,asia,MN,0.000229
21,asia,MW,7e-06
21,asia,MF,7e-06
21,asia,WMF,6e-06
21,asia,PE,7e-06
22,asia,MN,0.000229
22,asia,MW,7e-06
22,asia,MF,7e-06
22,asia,WMF,6e-06
22,asia,PE,6e-06
23,asia,MN,0.000228
23,asia,MW,7e-06
23,asia,MF,6e-06
23,asia,WMF,7e-06
23,asia,PE,7e-06
24,asia,MN,0.00023
24,asia,MW,7e-06
24,asia,MF,7e-06
24,asia,WMF,6e-06
24,asia,PE,6e-06
25,asia,MN,0.000228
25,asia,MW,6e-06
25,asia,MF,7e-06
25,asia,WMF,7e-06
25,asia,PE,7e-06
26,asia,MN,0.00023
26,asia,MW,7e-06
26,asia,MF,6e-06
26,asia,WMF,6e-06
26,asia,PE,6e-06
27,asia,MN,0.000306
27,asia,MW,1.3e-05
27,asia,MF,1e-05
27,asia,WMF,1e-05
27,asia,PE,1.2e-05
28,asia,MN,0.000325
28,asia,MW,1.3e-05
28,asia,MF,1.1e-05
28,asia,WMF,9e-06
28,asia,PE,8e-06
29,asia,MN,0.000267
29,asia,MW,1.3e-05
