run,bn,heuristic,time
0,barley,MN,0.23351
0,barley,MW,3.9e-05
0,barley,MF,3.3e-05
0,barley,WMF,3.3e-05
0,barley,PE,2.5e-05
1,barley,MN,0.157861
1,barley,MW,2.1e-05
1,barley,MF,1.5e-05
1,barley,WMF,1.7e-05
1,barley,PE,2.1e-05
2,barley,MN,0.159692
2,barley,MW,2.8e-05
2,barley,MF,4.6e-05
2,barley,WMF,3.6e-05
2,barley,PE,2.2e-05
3,barley,MN,0.133493
3,barley,MW,2.3e-05
3,barley,MF,1.8e-05
3,barley,WMF,3.1e-05
3,barley,PE,2.3e-05
4,barley,MN,0.140094
4,barley,MW,2.2e-05
4,barley,MF,1.8e-05
4,barley,WMF,1.7e-05
4,barley,PE,1.6e-05
5,barley,MN,0.131465
5,barley,MW,2e-05
5,barley,MF,2.1e-05
5,barley,WMF,1.8e-05
5,barley,PE,2.6e-05
6,barley,MN,0.262675
6,barley,MW,2.6e-05
6,barley,MF,3.2e-05
6,barley,WMF,3.3e-05
6,barley,PE,3.2e-05
7,barley,MN,0.239318
7,barley,MW,1.9e-05
7,barley,MF,1.6e-05
7,barley,WMF,1.7e-05
7,barley,PE,1.7e-05
8,barley,MN,0.231432
8,barley,MW,2e-05
8,barley,MF,1.7e-05
8,barley,WMF,1.6e-05
8,barley,PE,1.6e-05
9,barley,MN,0.244539
9,barley,MW,2.1e-05
9,barley,MF,1.7e-05
9,barley,WMF,1.7e-05
9,barley,PE,1.7e-05
10,barley,MN,0.195492
10,barley,MW,2e-05
10,barley,MF,1.7e-05
10,barley,WMF,1.6e-05
10,barley,PE,1.7e-05
11,barley,MN,0.195829
11,barley,MW,2.3e-05
11,barley,MF,3e-05
11,barley,WMF,1.8e-05
11,barley,PE,1.8e-05
12,barley,MN,0.190812
12,barley,MW,2.6e-05
12,barley,MF,2.5e-05
12,barley,WMF,3.3e-05
12,barley,PE,3e-05
13,barley,MN,0.180107
13,barley,MW,2.5e-05
13,barley,MF,2e-05
13,barley,WMF,2.5e-05
13,barley,PE,2e-05
14,barley,MN,0.199497
14,barley,MW,2e-05
14,barley,MF,1.7e-05
14,barley,WMF,2.5e-05
14,barley,PE,1.7e-05
15,barley,MN,0.335152
15,barley,MW,2.2e-05
15,barley,MF,1.7e-05
15,barley,WMF,1.6e-05
15,barley,PE,1.6e-05
16,barley,MN,0.266116
16,barley,MW,3.1e-05
16,barley,MF,2.3e-05
16,barley,WMF,1.8e-05
16,barley,PE,1.8e-05
17,barley,MN,0.29951
17,barley,MW,2.8e-05
17,barley,MF,1.9e-05
17,barley,WMF,1.6e-05
17,barley,PE,4.4e-05
18,barley,MN,0.254118
18,barley,MW,2e-05
18,barley,MF,1.5e-05
18,barley,WMF,1.6e-05
18,barley,PE,1.7e-05
19,barley,MN,0.265204
19,barley,MW,2.3e-05
19,barley,MF,2.5e-05
19,barley,WMF,1.8e-05
19,barley,PE,1.6e-05
20,barley,MN,0.266463
20,barley,MW,2.1e-05
20,barley,MF,1.6e-05
20,barley,WMF,1.7e-05
20,barley,PE,1.5e-05
21,barley,MN,0.212484
21,barley,MW,2.1e-05
21,barley,MF,1.7e-05
21,barley,WMF,1.6e-05
21,barley,PE,1.6e-05
22,barley,MN,3.69809
22,barley,MW,2.1e-05
22,barley,MF,1.5e-05
22,barley,WMF,1.5e-05
22,barley,PE,1.7e-05
23,barley,MN,0.140027
23,barley,MW,2.9e-05
23,barley,MF,1.9e-05
23,barley,WMF,2.6e-05
23,barley,PE,1.7e-05
24,barley,MN,0.136215
24,barley,MW,2.3e-05
24,barley,MF,1.9e-05
24,barley,WMF,1.7e-05
24,barley,PE,1.6e-05
25,barley,MN,1.16709
25,barley,MW,3.3e-05
25,barley,MF,2.4e-05
25,barley,WMF,1.9e-05
25,barley,PE,1.7e-05
26,barley,MN,0.281452
26,barley,MW,2e-05
26,barley,MF,1.6e-05
26,barley,WMF,1.7e-05
26,barley,PE,1.5e-05
27,barley,MN,0.281346
27,barley,MW,2.3e-05
27,barley,MF,2.3e-05
27,barley,WMF,1.7e-05
27,barley,PE,1.7e-05
28,barley,MN,0.277148
28,barley,MW,2.3e-05
28,barley,MF,1.9e-05
28,barley,WMF,2e-05
28,barley,PE,1.8e-05
29,barley,MN,0.61714
29,barley,MW,2e-05
29,barley,MF,1.6e-05
29,barley,WMF,1.7e-05
29,barley,PE,1.7e-05
30,barley,MN,0.686086
30,barley,MW,2.9e-05
30,barley,MF,1.8e-05
30,barley,WMF,1.7e-05
30,barley,PE,1.7e-05
31,barley,MN,0.891775
31,barley,MW,3.3e-05
31,barley,MF,2.9e-05
31,barley,WMF,2.2e-05
31,barley,PE,2e-05
32,barley,MN,0.290944
32,barley,MW,2e-05
32,barley,MF,1.6e-05
32,barley,WMF,1.5e-05
32,barley,PE,1.5e-05
33,barley,MN,0.236857
33,barley,MW,2.2e-05
33,barley,MF,1.6e-05
33,barley,WMF,2.5e-05
33,barley,PE,2.8e-05
34,barley,MN,0.260197
34,barley,MW,2.1e-05
34,barley,MF,1.6e-05
34,barley,WMF,1.6e-05
34,barley,PE,1.7e-05
35,barley,MN,1.31251
35,barley,MW,2.1e-05
35,barley,MF,1.5e-05
35,barley,WMF,1.6e-05
35,barley,PE,1.6e-05
36,barley,MN,0.290725
36,barley,MW,3e-05
