run,bn,heuristic,time
0,diabetes,MN,0.439435
0,diabetes,MW,0.000182
0,diabetes,MF,0.000143
0,diabetes,WMF,0.00014
0,diabetes,PE,0.000139
1,diabetes,MN,0.650147
1,diabetes,MW,0.000212
1,diabetes,MF,0.000188
1,diabetes,WMF,0.000147
1,diabetes,PE,0.000181
2,diabetes,MN,2.49809
2,diabetes,MW,0.000169
2,diabetes,MF,0.000167
2,diabetes,WMF,0.000184
2,diabetes,PE,0.000162
3,diabetes,MN,3.024
3,diabetes,MW,0.000177
3,diabetes,MF,0.000142
3,diabetes,WMF,0.000179
3,diabetes,PE,0.000171
4,diabetes,MN,0.961813
4,diabetes,MW,0.000146
4,diabetes,MF,0.000204
4,diabetes,WMF,0.0002
4,diabetes,PE,0.000138
5,diabetes,MN,2.16578
5,diabetes,MW,0.000186
5,diabetes,MF,0.000166
5,diabetes,WMF,0.000168
5,diabetes,PE,0.000168
6,diabetes,MN,0.316158
6,diabetes,MW,0.000207
6,diabetes,MF,0.000165
6,diabetes,WMF,0.000201
6,diabetes,PE,0.000168
7,diabetes,MN,2.28674
7,diabetes,MW,0.000213
7,diabetes,MF,0.00016
7,diabetes,WMF,0.000135
7,diabetes,PE,0.000151
8,diabetes,MN,0.76352
8,diabetes,MW,0.000177
8,diabetes,MF,0.000195
8,diabetes,WMF,0.000153
8,diabetes,PE,0.000139
9,diabetes,MN,1.435
9,diabetes,MW,0.000208
9,diabetes,MF,0.000182
9,diabetes,WMF,0.000166
9,diabetes,PE,0.000134
10,diabetes,MN,0.544856
10,diabetes,MW,0.000173
10,diabetes,MF,0.000169
10,diabetes,WMF,0.00019
10,diabetes,PE,0.000167
11,diabetes,MN,1.85258
11,diabetes,MW,0.000146
11,diabetes,MF,0.000195
11,diabetes,WMF,0.000205
11,diabetes,PE,0.000149
12,diabetes,MN,0.305397
12,diabetes,MW,0.000187
12,diabetes,MF,0.000162
12,diabetes,WMF,0.000187
12,diabetes,PE,0.000173
13,diabetes,MN,0.910183
13,diabetes,MW,0.000161
13,diabetes,MF,0.000157
13,diabetes,WMF,0.000164
13,diabetes,PE,0.000137
14,diabetes,MN,1.23515
14,diabetes,MW,0.000145
14,diabetes,MF,0.000203
14,diabetes,WMF,0.000176
14,diabetes,PE,0.000208
15,diabetes,MN,0.731583
15,diabetes,MW,0.000203
15,diabetes,MF,0.000143
15,diabetes,WMF,0.000193
15,diabetes,PE,0.000138
16,diabetes,MN,0.651353
16,diabetes,MW,0.000166
16,diabetes,MF,0.000165
16,diabetes,WMF,0.000138
16,diabetes,PE,0.000142
17,diabetes,MN,2.25013
17,diabetes,MW,0.000152
17,diabetes,MF,0.000157
17,diabetes,WMF,0.000189
17,diabetes,PE,0.000262
18,diabetes,MN,0.777788
18,diabetes,MW,0.000181
18,diabetes,MF,0.000205
18,diabetes,WMF,0.000156
18,diabetes,PE,0.000199
19,diabetes,MN,0.799638
19,diabetes,MW,0.000145
19,diabetes,MF,0.000183
19,diabetes,WMF,0.000146
19,diabetes,PE,0.000218
20,diabetes,MN,2.44639
20,diabetes,MW,0.000159
20,diabetes,MF,0.000148
20,diabetes,WMF,0.000136
20,diabetes,PE,0.000144
21,diabetes,MN,2.23834
21,diabetes,MW,0.000142
21,diabetes,MF,0.000166
21,diabetes,WMF,0.00017
21,diabetes,PE,0.000222
22,diabetes,MN,0.697372
22,diabetes,MW,0.000174
22,diabetes,MF,0.000196
22,diabetes,WMF,0.000183
22,diabetes,PE,0.000153
23,diabetes,MN,0.549519
23,diabetes,MW,0.000194
23,diabetes,MF,0.000143
23,diabetes,WMF,0.000168
23,diabetes,PE,0.000144
24,diabetes,MN,2.76927
24,diabetes,MW,0.000168
24,diabetes,MF,0.000187
24,diabetes,WMF,0.000141
24,diabetes,PE,0.000148
25,diabetes,MN,2.43712
25,diabetes,MW,0.00016
25,diabetes,MF,0.000141
25,diabetes,WMF,0.000152
25,diabetes,PE,0.000154
26,diabetes,MN,2.52339
26,diabetes,MW,0.000169
26,diabetes,MF,0.000184
26,diabetes,WMF,0.000194
26,diabetes,PE,0.000157
27,diabetes,MN,1.74076
27,diabetes,MW,0.000173
27,diabetes,MF,0.000163
27,diabetes,WMF,0.000198
27,diabetes,PE,0.00014
28,diabetes,MN,0.532964
28,diabetes,MW,0.000163
28,diabetes,MF,0.000145
28,diabetes,WMF,0.000161
28,diabetes,PE,0.000139
29,diabetes,MN,0.565753
29,diabetes,MW,0.000163
29,diabetes,MF,0.000196
29,diabetes,WMF,0.000198
29,diabetes,PE,0.000152
30,diabetes,MN,1.17841
30,diabetes,MW,0.000163
30,diabetes,MF,0.00018
30,diabetes,WMF,0.000176
30,diabetes,PE,0.000198
31,diabetes,MN,0.803045
31,diabetes,MW,0.000151
31,diabetes,MF,0.00019
31,diabetes,WMF,0.000176
31,diabetes,PE,0.000161
32,diabetes,MN,0.926989
32,diabetes,MW,0.00018
32,diabetes,MF,0.000174
32,diabetes,WMF,0.000186
32,diabetes,PE,0.000217
33,diabetes,MN,0.945686
33,diabetes,MW,0.000193
33,diabetes,MF,0.000175
33,diabetes,WMF,0.000162
33,diabetes,PE,0.000208
34,diabetes,MN,0.602914
34,diabetes,MW,0.000141
34,diabetes,MF,0.000176
34,diabetes,WMF,0.000176
34,diabetes,PE,0.000156
35,diabetes,MN,1.06128
35,diabetes,MW,0.000166
35,diabetes,MF,0.000144
35,diabetes,WMF,0.000163
35,diabetes,PE,0.000142
36,diabetes,MN,0.918104
36,diabetes,MW,0.000274
36,diabetes,MF,0.000149
36,diabetes,WMF,0.000182
36,diabetes,PE,0.000172
37,diabetes,MN,0.872651
37,diabetes,MW,0.000164
37,diabetes,MF,0.000141
37,diabetes,WMF,0.000192
37,diabetes,PE,0.000141
38,diabetes,MN,0.823178
38,diabetes,MW,0.000164
38,diabetes,MF,0.000146
38,diabetes,WMF,0.000174
38,diabetes,PE,0.000179
39,diabetes,MN,2.22343
39,diabetes,MW,0.000184
39,diabetes,MF,0.000171
39,diabetes,WMF,0.00014
39,diabetes,PE,0.000144
40,diabetes,MN,2.47838
40,diabetes,MW,0.000201
40,diabetes,MF,0.000154
40,diabetes,WMF,0.000168
40,diabetes,PE,0.000143
41,diabetes,MN,1.4038
41,diabetes,MW,0.000181
41,diabetes,MF,0.000168
41,diabetes,WMF,0.000165
41,diabetes,PE,0.000181
42,diabetes,MN,0.569991
42,diabetes,MW,0.000176
42,diabetes,MF,0.000193
42,diabetes,WMF,0.000161
42,diabetes,PE,0.000192
