run,bn,heuristic,time
0,hepar2,MN,0.002218
0,hepar2,MW,2.1e-05
0,hepar2,MF,2.6e-05
0,hepar2,WMF,3e-05
0,hepar2,PE,2.1e-05
1,hepar2,MN,0.002251
1,hepar2,MW,4e-05
1,hepar2,MF,3.8e-05
1,hepar2,WMF,5.7e-05
1,hepar2,PE,3.9e-05
2,hepar2,MN,0.002534
2,hepar2,MW,2.1e-05
2,hepar2,MF,2.8e-05
2,hepar2,WMF,2.1e-05
2,hepar2,PE,3.9e-05
3,hepar2,MN,0.00237
3,hepar2,MW,3.4e-05
3,hepar2,MF,3e-05
3,hepar2,WMF,2.9e-05
3,hepar2,PE,4.8e-05
4,hepar2,MN,0.002564
4,hepar2,MW,3.8e-05
4,hepar2,MF,4.4e-05
4,hepar2,WMF,3.7e-05
4,hepar2,PE,3.6e-05
5,hepar2,MN,0.00227
5,hepar2,MW,3.2e-05
5,hepar2,MF,2.8e-05
5,hepar2,WMF,3.2e-05
5,hepar2,PE,2.1e-05
6,hepar2,MN,0.002322
6,hepar2,MW,3e-05
6,hepar2,MF,2e-05
6,hepar2,WMF,3e-05
6,hepar2,PE,2.4e-05
7,hepar2,MN,0.002336
7,hepar2,MW,2.9e-05
7,hepar2,MF,2e-05
7,hepar2,WMF,4.3e-05
7,hepar2,PE,3.6e-05
8,hepar2,MN,0.002309
8,hepar2,MW,2.6e-05
8,hepar2,MF,2.9e-05
8,hepar2,WMF,2.7e-05
8,hepar2,PE,3.7e-05
9,hepar2,MN,0.00238
9,hepar2,MW,4.2e-05
9,hepar2,MF,2.9e-05
9,hepar2,WMF,2.9e-05
9,hepar2,PE,2.1e-05
10,hepar2,MN,0.00234
10,hepar2,MW,4.9e-05
10,hepar2,MF,2.6e-05
10,hepar2,WMF,4e-05
10,hepar2,PE,2.1e-05
11,hepar2,MN,0.002372
11,hepar2,MW,3e-05
11,hepar2,MF,2.9e-05
11,hepar2,WMF,2.9e-05
11,hepar2,PE,2.8e-05
12,hepar2,MN,0.003254
12,hepar2,MW,3.7e-05
12,hepar2,MF,2.8e-05
12,hepar2,WMF,2.9e-05
12,hepar2,PE,2.2e-05
13,hepar2,MN,0.002348
13,hepar2,MW,3.1e-05
13,hepar2,MF,1.9e-05
13,hepar2,WMF,6.9e-05
13,hepar2,PE,2.5e-05
14,hepar2,MN,0.002336
14,hepar2,MW,3.1e-05
14,hepar2,MF,3e-05
14,hepar2,WMF,2.1e-05
14,hepar2,PE,2.8e-05
15,hepar2,MN,0.003538
15,hepar2,MW,3e-05
15,hepar2,MF,2.9e-05
15,hepar2,WMF,2.9e-05
15,hepar2,PE,3.1e-05
16,hepar2,MN,0.003284
16,hepar2,MW,2.5e-05
16,hepar2,MF,6.5e-05
16,hepar2,WMF,4.6e-05
16,hepar2,PE,2.2e-05
17,hepar2,MN,0.002276
17,hepar2,MW,2.9e-05
17,hepar2,MF,2.9e-05
17,hepar2,WMF,2.6e-05
17,hepar2,PE,2.1e-05
18,hepar2,MN,0.003716
18,hepar2,MW,2.8e-05
18,hepar2,MF,2.9e-05
18,hepar2,WMF,2.9e-05
18,hepar2,PE,2.1e-05
19,hepar2,MN,0.002366
19,hepar2,MW,2.9e-05
19,hepar2,MF,9.4e-05
19,hepar2,WMF,4.9e-05
19,hepar2,PE,2e-05
20,hepar2,MN,0.002392
20,hepar2,MW,4.2e-05
20,hepar2,MF,2.9e-05
20,hepar2,WMF,2.6e-05
20,hepar2,PE,2.1e-05
21,hepar2,MN,0.003801
21,hepar2,MW,3.7e-05
21,hepar2,MF,2e-05
21,hepar2,WMF,2.1e-05
21,hepar2,PE,2.1e-05
22,hepar2,MN,0.002364
22,hepar2,MW,4.3e-05
22,hepar2,MF,7e-05
22,hepar2,WMF,4.6e-05
22,hepar2,PE,2.1e-05
23,hepar2,MN,0.002339
23,hepar2,MW,2.2e-05
23,hepar2,MF,2.9e-05
23,hepar2,WMF,2.6e-05
23,hepar2,PE,2.3e-05
24,hepar2,MN,0.003963
24,hepar2,MW,3.6e-05
24,hepar2,MF,2.9e-05
24,hepar2,WMF,2.9e-05
24,hepar2,PE,2.1e-05
25,hepar2,MN,0.002378
25,hepar2,MW,3e-05
25,hepar2,MF,0.000121
25,hepar2,WMF,4.4e-05
25,hepar2,PE,2.1e-05
26,hepar2,MN,0.002373
26,hepar2,MW,3e-05
26,hepar2,MF,2.8e-05
26,hepar2,WMF,2.5e-05
26,hepar2,PE,2.2e-05
27,hepar2,MN,0.003532
27,hepar2,MW,2.9e-05
27,hepar2,MF,2.9e-05
27,hepar2,WMF,2.9e-05
27,hepar2,PE,2.1e-05
28,hepar2,MN,0.00233
28,hepar2,MW,3.5e-05
28,hepar2,MF,6.8e-05
28,hepar2,WMF,4.2e-05
28,hepar2,PE,3.1e-05
29,hepar2,MN,0.002383
29,hepar2,MW,2.9e-05
29,hepar2,MF,2.9e-05
