run,bn,heuristic,time
0,insurance,MN,0.001124
0,insurance,MW,1.3e-05
0,insurance,MF,1.1e-05
0,insurance,WMF,1.2e-05
0,insurance,PE,1.2e-05
1,insurance,MN,0.001122
1,insurance,MW,1.2e-05
1,insurance,MF,1.2e-05
1,insurance,WMF,1.2e-05
1,insurance,PE,1.1e-05
2,insurance,MN,0.00106
2,insurance,MW,1.2e-05
2,insurance,MF,1.2e-05
2,insurance,WMF,1.1e-05
2,insurance,PE,1.1e-05
3,insurance,MN,0.001058
3,insurance,MW,1.3e-05
3,insurance,MF,1.1e-05
3,insurance,WMF,1.2e-05
3,insurance,PE,1.2e-05
4,insurance,MN,0.001041
4,insurance,MW,1.2e-05
4,insurance,MF,1.2e-05
4,insurance,WMF,1.2e-05
4,insurance,PE,1.1e-05
5,insurance,MN,0.001055
5,insurance,MW,1.3e-05
5,insurance,MF,1.2e-05
5,insurance,WMF,1.3e-05
5,insurance,PE,1.5e-05
6,insurance,MN,0.001141
6,insurance,MW,1.2e-05
6,insurance,MF,1.2e-05
6,insurance,WMF,1.1e-05
6,insurance,PE,2.3e-05
7,insurance,MN,0.001104
7,insurance,MW,1.5e-05
7,insurance,MF,1.4e-05
7,insurance,WMF,1.1e-05
7,insurance,PE,1.1e-05
8,insurance,MN,0.001058
8,insurance,MW,1.1e-05
8,insurance,MF,1.2e-05
8,insurance,WMF,1.2e-05
8,insurance,PE,1.1e-05
9,insurance,MN,0.001438
9,insurance,MW,2.1e-05
9,insurance,MF,1.9e-05
9,insurance,WMF,1.6e-05
9,insurance,PE,1.2e-05
10,insurance,MN,0.001099
10,insurance,MW,1.1e-05
10,insurance,MF,1.2e-05
10,insurance,WMF,1.1e-05
10,insurance,PE,1.2e-05
11,insurance,MN,0.001098
11,insurance,MW,1.2e-05
11,insurance,MF,1.2e-05
11,insurance,WMF,1.2e-05
11,insurance,PE,1.2e-05
12,insurance,MN,0.001106
12,insurance,MW,1.2e-05
12,insurance,MF,1.1e-05
12,insurance,WMF,1.1e-05
