run,bn,heuristic,time
0,mildew,MN,0.119175
0,mildew,MW,1.7e-05
0,mildew,MF,1.7e-05
0,mildew,WMF,3e-05
0,mildew,PE,1.4e-05
1,mildew,MN,6.65368
1,mildew,MW,3.2e-05
1,mildew,MF,1.8e-05
1,mildew,WMF,1.7e-05
1,mildew,PE,1.9e-05
2,mildew,MN,0.045632
2,mildew,MW,1.7e-05
2,mildew,MF,1.3e-05
2,mildew,WMF,3.3e-05
2,mildew,PE,1.5e-05
3,mildew,MN,0.046492
3,mildew,MW,1.9e-05
3,mildew,MF,2.1e-05
3,mildew,WMF,1.9e-05
3,mildew,PE,1.6e-05
4,mildew,MN,0.046141
4,mildew,MW,1.7e-05
4,mildew,MF,1.6e-05
4,mildew,WMF,2.1e-05
4,mildew,PE,1.4e-05
5,mildew,MN,0.046909
5,mildew,MW,1.7e-05
5,mildew,MF,1.8e-05
5,mildew,WMF,1.9e-05
5,mildew,PE,1.5e-05
6,mildew,MN,0.048139
6,mildew,MW,1.9e-05
6,mildew,MF,2.2e-05
6,mildew,WMF,1.9e-05
6,mildew,PE,1.4e-05
7,mildew,MN,0.046955
7,mildew,MW,2.1e-05
7,mildew,MF,3.3e-05
7,mildew,WMF,2.3e-05
7,mildew,PE,1.3e-05
8,mildew,MN,0.062048
8,mildew,MW,1.8e-05
8,mildew,MF,1.4e-05
8,mildew,WMF,1.4e-05
8,mildew,PE,1.3e-05
9,mildew,MN,0.076967
9,mildew,MW,3.2e-05
9,mildew,MF,2e-05
9,mildew,WMF,1.8e-05
9,mildew,PE,2.1e-05
10,mildew,MN,0.071567
10,mildew,MW,1.8e-05
10,mildew,MF,1.4e-05
10,mildew,WMF,1.4e-05
10,mildew,PE,1.3e-05
11,mildew,MN,0.073721
11,mildew,MW,1.7e-05
11,mildew,MF,2.2e-05
11,mildew,WMF,1.4e-05
11,mildew,PE,1.3e-05
12,mildew,MN,0.064118
12,mildew,MW,1.8e-05
12,mildew,MF,1.4e-05
12,mildew,WMF,1.3e-05
12,mildew,PE,1.4e-05
13,mildew,MN,0.072361
13,mildew,MW,1.7e-05
13,mildew,MF,1.3e-05
13,mildew,WMF,1.3e-05
13,mildew,PE,1.4e-05
14,mildew,MN,0.061495
14,mildew,MW,1.8e-05
14,mildew,MF,1.3e-05
14,mildew,WMF,1.4e-05
14,mildew,PE,1.3e-05
15,mildew,MN,0.074709
15,mildew,MW,1.6e-05
15,mildew,MF,1.4e-05
15,mildew,WMF,1.3e-05
15,mildew,PE,1.4e-05
16,mildew,MN,0.075583
16,mildew,MW,1.9e-05
16,mildew,MF,2.3e-05
16,mildew,WMF,1.4e-05
16,mildew,PE,1.3e-05
17,mildew,MN,0.063279
17,mildew,MW,1.8e-05
17,mildew,MF,1.4e-05
17,mildew,WMF,1.3e-05
17,mildew,PE,1.4e-05
18,mildew,MN,0.061576
18,mildew,MW,1.7e-05
18,mildew,MF,1.2e-05
18,mildew,WMF,1.2e-05
18,mildew,PE,1.4e-05
19,mildew,MN,0.06236
19,mildew,MW,1.8e-05
19,mildew,MF,1.3e-05
19,mildew,WMF,1.3e-05
19,mildew,PE,1.4e-05
20,mildew,MN,0.075778
20,mildew,MW,2e-05
20,mildew,MF,2.3e-05
20,mildew,WMF,1.4e-05
20,mildew,PE,1.2e-05
21,mildew,MN,0.072104
21,mildew,MW,1.8e-05
21,mildew,MF,2.4e-05
21,mildew,WMF,1.9e-05
21,mildew,PE,1.8e-05
22,mildew,MN,0.02461
22,mildew,MW,2.6e-05
22,mildew,MF,2.3e-05
22,mildew,WMF,1.4e-05
22,mildew,PE,1.3e-05
23,mildew,MN,0.023966
23,mildew,MW,2.1e-05
23,mildew,MF,1.7e-05
23,mildew,WMF,1.7e-05
23,mildew,PE,1.4e-05
24,mildew,MN,0.021939
24,mildew,MW,1.8e-05
24,mildew,MF,1.4e-05
24,mildew,WMF,1.3e-05
24,mildew,PE,1.4e-05
25,mildew,MN,0.025653
25,mildew,MW,2.3e-05
25,mildew,MF,1.9e-05
25,mildew,WMF,1.7e-05
25,mildew,PE,1.9e-05
26,mildew,MN,0.020967
26,mildew,MW,2.7e-05
26,mildew,MF,2.6e-05
26,mildew,WMF,1.4e-05
26,mildew,PE,1.4e-05
27,mildew,MN,0.024619
27,mildew,MW,2e-05
27,mildew,MF,1.5e-05
27,mildew,WMF,1.4e-05
27,mildew,PE,1.3e-05
28,mildew,MN,0.0217
28,mildew,MW,2.6e-05
28,mildew,MF,1.4e-05
28,mildew,WMF,1.4e-05
28,mildew,PE,1.4e-05
29,mildew,MN,0.023451
29,mildew,MW,1.7e-05
29,mildew,MF,2.3e-05
29,mildew,WMF,1.5e-05
29,mildew,PE,1.4e-05
30,mildew,MN,0.022176
30,mildew,MW,1.7e-05
30,mildew,MF,1.3e-05
30,mildew,WMF,1.4e-05
