run,bn,heuristic,time
0,munin,MN,0.49096
0,munin,MW,0.000351
0,munin,MF,0.000337
0,munin,WMF,0.000358
0,munin,PE,0.000456
1,munin,MN,0.261858
1,munin,MW,0.000343
1,munin,MF,0.000412
1,munin,WMF,0.000296
1,munin,PE,0.000409
2,munin,MN,0.309345
2,munin,MW,0.000334
2,munin,MF,0.000423
2,munin,WMF,0.000312
2,munin,PE,0.000362
3,munin,MN,0.45401
3,munin,MW,0.000418
3,munin,MF,0.000344
3,munin,WMF,0.000299
3,munin,PE,0.000408
4,munin,MN,0.263684
4,munin,MW,0.000346
4,munin,MF,0.000322
4,munin,WMF,0.000334
4,munin,PE,0.000323
5,munin,MN,0.435912
5,munin,MW,0.000344
5,munin,MF,0.000315
5,munin,WMF,0.000304
5,munin,PE,0.00043
6,munin,MN,0.3612
6,munin,MW,0.000307
6,munin,MF,0.00031
6,munin,WMF,0.000421
6,munin,PE,0.000338
7,munin,MN,0.280752
7,munin,MW,0.000336
7,munin,MF,0.000357
7,munin,WMF,0.000317
7,munin,PE,0.000406
8,munin,MN,0.330353
8,munin,MW,0.000315
8,munin,MF,0.000336
8,munin,WMF,0.000339
8,munin,PE,0.000348
9,munin,MN,0.385692
9,munin,MW,0.000425
9,munin,MF,0.000362
9,munin,WMF,0.000399
9,munin,PE,0.000432
10,munin,MN,0.351631
10,munin,MW,0.00031
10,munin,MF,0.000323
10,munin,WMF,0.000431
10,munin,PE,0.000364
11,munin,MN,0.433794
11,munin,MW,0.000325
11,munin,MF,0.000336
11,munin,WMF,0.000314
11,munin,PE,0.000415
12,munin,MN,0.333928
12,munin,MW,0.000404
12,munin,MF,0.000323
12,munin,WMF,0.000303
12,munin,PE,0.000453
13,munin,MN,0.411918
13,munin,MW,0.00033
13,munin,MF,0.000315
13,munin,WMF,0.000309
13,munin,PE,0.000402
14,munin,MN,0.28063
14,munin,MW,0.000316
14,munin,MF,0.00033
14,munin,WMF,0.000392
14,munin,PE,0.000343
15,munin,MN,0.281899
15,munin,MW,0.000327
15,munin,MF,0.000359
15,munin,WMF,0.00032
15,munin,PE,0.000418
16,munin,MN,0.464996
16,munin,MW,0.00032
16,munin,MF,0.000306
16,munin,WMF,0.000339
16,munin,PE,0.000352
17,munin,MN,0.519904
17,munin,MW,0.000432
17,munin,MF,0.000303
17,munin,WMF,0.000297
17,munin,PE,0.000404
18,munin,MN,0.330226
18,munin,MW,0.000326
18,munin,MF,0.000314
18,munin,WMF,0.000315
18,munin,PE,0.00032
19,munin,MN,0.353378
19,munin,MW,0.000383
19,munin,MF,0.00033
19,munin,WMF,0.000316
19,munin,PE,0.000333
20,munin,MN,0.455003
20,munin,MW,0.000374
20,munin,MF,0.000303
20,munin,WMF,0.000329
20,munin,PE,0.000324
21,munin,MN,0.408111
21,munin,MW,0.000347
21,munin,MF,0.000354
21,munin,WMF,0.000303
21,munin,PE,0.000319
22,munin,MN,0.297723
22,munin,MW,0.000315
22,munin,MF,0.000319
22,munin,WMF,0.000312
22,munin,PE,0.000329
23,munin,MN,0.41116
23,munin,MW,0.000307
23,munin,MF,0.000302
23,munin,WMF,0.0004
23,munin,PE,0.000339
24,munin,MN,0.39514
24,munin,MW,0.000316
24,munin,MF,0.000413
24,munin,WMF,0.000398
24,munin,PE,0.000312
25,munin,MN,0.322493
25,munin,MW,0.000368
25,munin,MF,0.000329
25,munin,WMF,0.000317
25,munin,PE,0.000428
26,munin,MN,0.384156
26,munin,MW,0.000339
26,munin,MF,0.000307
26,munin,WMF,0.000384
26,munin,PE,0.000375
27,munin,MN,0.412079
27,munin,MW,0.000358
27,munin,MF,0.000326
27,munin,WMF,0.000329
27,munin,PE,0.000339
28,munin,MN,0.400782
28,munin,MW,0.000328
28,munin,MF,0.000451
28,munin,WMF,0.000343
28,munin,PE,0.000406
29,munin,MN,0.488596
29,munin,MW,0.000317
29,munin,MF,0.000413
29,munin,WMF,0.000313
29,munin,PE,0.000447
30,munin,MN,0.400425
30,munin,MW,0.000422
30,munin,MF,0.00034
30,munin,WMF,0.000406
30,munin,PE,0.00032
31,munin,MN,0.289554
31,munin,MW,0.000338
31,munin,MF,0.000429
31,munin,WMF,0.00032
31,munin,PE,0.000349
32,munin,MN,0.449439
32,munin,MW,0.000353
32,munin,MF,0.000333
32,munin,WMF,0.0004
32,munin,PE,0.000312
33,munin,MN,0.291966
33,munin,MW,0.000308
33,munin,MF,0.000321
33,munin,WMF,0.000408
33,munin,PE,0.000334
34,munin,MN,0.289428
34,munin,MW,0.000415
34,munin,MF,0.000326
34,munin,WMF,0.00032
34,munin,PE,0.000415
35,munin,MN,0.358357
35,munin,MW,0.000319
35,munin,MF,0.000314
35,munin,WMF,0.000308
35,munin,PE,0.000315
36,munin,MN,0.342588
36,munin,MW,0.000334
36,munin,MF,0.00033
36,munin,WMF,0.000327
36,munin,PE,0.000419
37,munin,MN,0.324575
37,munin,MW,0.000329
37,munin,MF,0.000328
37,munin,WMF,0.000315
37,munin,PE,0.000442
38,munin,MN,0.297401
38,munin,MW,0.000372
38,munin,MF,0.000452
38,munin,WMF,0.000321
38,munin,PE,0.000405
39,munin,MN,0.336207
39,munin,MW,0.000332
39,munin,MF,0.000328
39,munin,WMF,0.000345
39,munin,PE,0.000347
40,munin,MN,0.340305
40,munin,MW,0.000381
40,munin,MF,0.00034
40,munin,WMF,0.000395
40,munin,PE,0.000347
41,munin,MN,0.308522
41,munin,MW,0.000423
41,munin,MF,0.00033
41,munin,WMF,0.000306
41,munin,PE,0.000444
42,munin,MN,0.373068
42,munin,MW,0.000341
42,munin,MF,0.000328
42,munin,WMF,0.000297
42,munin,PE,0.000315
43,munin,MN,0.373341
43,munin,MW,0.000436
43,munin,MF,0.000315
43,munin,WMF,0.000409
43,munin,PE,0.000318
44,munin,MN,0.281059
44,munin,MW,0.000318
44,munin,MF,0.000374
44,munin,WMF,0.000305
44,munin,PE,0.000322
45,munin,MN,0.364872
45,munin,MW,0.000328
45,munin,MF,0.000416
45,munin,WMF,0.000309
