run,bn,heuristic,time
0,pathfinder,MN,0.004463
0,pathfinder,MW,5.7e-05
0,pathfinder,MF,3.2e-05
0,pathfinder,WMF,4.5e-05
0,pathfinder,PE,5.3e-05
1,pathfinder,MN,0.004649
1,pathfinder,MW,5e-05
1,pathfinder,MF,3.8e-05
1,pathfinder,WMF,3.8e-05
1,pathfinder,PE,6.2e-05
2,pathfinder,MN,0.006116
2,pathfinder,MW,4.8e-05
2,pathfinder,MF,4.8e-05
2,pathfinder,WMF,5.1e-05
2,pathfinder,PE,6.8e-05
3,pathfinder,MN,0.005289
3,pathfinder,MW,5.4e-05
3,pathfinder,MF,4.7e-05
3,pathfinder,WMF,4.8e-05
3,pathfinder,PE,5.2e-05
4,pathfinder,MN,0.006363
4,pathfinder,MW,5.6e-05
4,pathfinder,MF,3.7e-05
4,pathfinder,WMF,3.8e-05
4,pathfinder,PE,5e-05
5,pathfinder,MN,0.004426
5,pathfinder,MW,4.9e-05
5,pathfinder,MF,3.8e-05
5,pathfinder,WMF,5.2e-05
5,pathfinder,PE,5.4e-05
6,pathfinder,MN,0.006935
6,pathfinder,MW,5.1e-05
6,pathfinder,MF,3.6e-05
6,pathfinder,WMF,3.1e-05
6,pathfinder,PE,4.9e-05
7,pathfinder,MN,0.006475
7,pathfinder,MW,6.2e-05
7,pathfinder,MF,3.8e-05
7,pathfinder,WMF,4.7e-05
7,pathfinder,PE,5.3e-05
8,pathfinder,MN,0.00633
8,pathfinder,MW,5.9e-05
8,pathfinder,MF,4.5e-05
8,pathfinder,WMF,4.2e-05
8,pathfinder,PE,5.9e-05
9,pathfinder,MN,0.006215
9,pathfinder,MW,6e-05
9,pathfinder,MF,3.8e-05
9,pathfinder,WMF,2.8e-05
9,pathfinder,PE,5.2e-05
10,pathfinder,MN,0.006357
10,pathfinder,MW,5e-05
10,pathfinder,MF,3.1e-05
10,pathfinder,WMF,5.9e-05
10,pathfinder,PE,5e-05
11,pathfinder,MN,0.006183
11,pathfinder,MW,5.5e-05
11,pathfinder,MF,3.7e-05
11,pathfinder,WMF,4.5e-05
11,pathfinder,PE,4.9e-05
12,pathfinder,MN,0.004458
12,pathfinder,MW,5.7e-05
12,pathfinder,MF,4.7e-05
12,pathfinder,WMF,4.6e-05
12,pathfinder,PE,5.2e-05
13,pathfinder,MN,0.0063
13,pathfinder,MW,5.7e-05
13,pathfinder,MF,3.7e-05
13,pathfinder,WMF,2.9e-05
13,pathfinder,PE,5.4e-05
14,pathfinder,MN,0.004734
14,pathfinder,MW,5.1e-05
14,pathfinder,MF,3.6e-05
14,pathfinder,WMF,3.7e-05
14,pathfinder,PE,5.1e-05
15,pathfinder,MN,0.004526
15,pathfinder,MW,4.9e-05
15,pathfinder,MF,3.3e-05
15,pathfinder,WMF,6.8e-05
15,pathfinder,PE,5.3e-05
16,pathfinder,MN,0.004756
16,pathfinder,MW,5.1e-05
16,pathfinder,MF,3.6e-05
16,pathfinder,WMF,4.3e-05
16,pathfinder,PE,6.5e-05
17,pathfinder,MN,0.004736
17,pathfinder,MW,5.2e-05
17,pathfinder,MF,5.2e-05
17,pathfinder,WMF,3.7e-05
17,pathfinder,PE,4.8e-05
18,pathfinder,MN,0.004539
18,pathfinder,MW,5.8e-05
18,pathfinder,MF,5e-05
18,pathfinder,WMF,3.6e-05
18,pathfinder,PE,5.1e-05
19,pathfinder,MN,0.00451
19,pathfinder,MW,5.1e-05
19,pathfinder,MF,3.9e-05
19,pathfinder,WMF,3e-05
19,pathfinder,PE,5.2e-05
20,pathfinder,MN,0.004546
20,pathfinder,MW,5.4e-05
20,pathfinder,MF,5.3e-05
20,pathfinder,WMF,3.3e-05
20,pathfinder,PE,5.1e-05
21,pathfinder,MN,0.006329
21,pathfinder,MW,7e-05
21,pathfinder,MF,3.2e-05
21,pathfinder,WMF,5.4e-05
21,pathfinder,PE,5.2e-05
22,pathfinder,MN,0.005319
22,pathfinder,MW,5.3e-05
22,pathfinder,MF,3.8e-05
22,pathfinder,WMF,3.7e-05
22,pathfinder,PE,5.1e-05
23,pathfinder,MN,0.006488
23,pathfinder,MW,5.3e-05
23,pathfinder,MF,3.9e-05
23,pathfinder,WMF,5.1e-05
23,pathfinder,PE,5.2e-05
24,pathfinder,MN,0.004543
24,pathfinder,MW,6e-05
24,pathfinder,MF,4.2e-05
24,pathfinder,WMF,6e-05
24,pathfinder,PE,5.1e-05
25,pathfinder,MN,0.004968
25,pathfinder,MW,7e-05
25,pathfinder,MF,5.2e-05
25,pathfinder,WMF,4.9e-05
25,pathfinder,PE,7.7e-05
26,pathfinder,MN,0.004385
26,pathfinder,MW,5.3e-05
26,pathfinder,MF,3.7e-05
26,pathfinder,WMF,7.3e-05
26,pathfinder,PE,6e-05
27,pathfinder,MN,0.006354
27,pathfinder,MW,5.3e-05
27,pathfinder,MF,4.3e-05
27,pathfinder,WMF,3e-05
27,pathfinder,PE,5.2e-05
28,pathfinder,MN,0.004829
28,pathfinder,MW,5.1e-05
28,pathfinder,MF,2.8e-05
28,pathfinder,WMF,5e-05
28,pathfinder,PE,5.1e-05
29,pathfinder,MN,0.004783
29,pathfinder,MW,5.5e-05
29,pathfinder,MF,3.2e-05
29,pathfinder,WMF,5.3e-05
29,pathfinder,PE,6.7e-05
30,pathfinder,MN,0.006531
30,pathfinder,MW,9.7e-05
30,pathfinder,MF,4.6e-05
30,pathfinder,WMF,3.1e-05
30,pathfinder,PE,5.2e-05
31,pathfinder,MN,0.006128
31,pathfinder,MW,6.1e-05
31,pathfinder,MF,5.6e-05
31,pathfinder,WMF,6.2e-05
31,pathfinder,PE,5.7e-05
32,pathfinder,MN,0.004562
32,pathfinder,MW,5.4e-05
32,pathfinder,MF,3.8e-05
32,pathfinder,WMF,3.1e-05
32,pathfinder,PE,5.6e-05
33,pathfinder,MN,0.004611
33,pathfinder,MW,5.1e-05
33,pathfinder,MF,4.6e-05
33,pathfinder,WMF,3.4e-05
33,pathfinder,PE,5e-05
34,pathfinder,MN,0.006084
34,pathfinder,MW,5.2e-05
34,pathfinder,MF,3.8e-05
34,pathfinder,WMF,5.1e-05
34,pathfinder,PE,5e-05
35,pathfinder,MN,0.004547
35,pathfinder,MW,5.9e-05
35,pathfinder,MF,4.7e-05
35,pathfinder,WMF,3.8e-05
35,pathfinder,PE,5.1e-05
36,pathfinder,MN,0.004662
36,pathfinder,MW,5.9e-05
36,pathfinder,MF,3.8e-05
36,pathfinder,WMF,5.3e-05
36,pathfinder,PE,5e-05
37,pathfinder,MN,0.004555
37,pathfinder,MW,5.7e-05
37,pathfinder,MF,3.8e-05
37,pathfinder,WMF,3.6e-05
37,pathfinder,PE,5.1e-05
38,pathfinder,MN,0.00709
38,pathfinder,MW,5.7e-05
38,pathfinder,MF,5.5e-05
38,pathfinder,WMF,3.2e-05
38,pathfinder,PE,5.2e-05
39,pathfinder,MN,0.006937
39,pathfinder,MW,5.9e-05
39,pathfinder,MF,3.8e-05
39,pathfinder,WMF,5.2e-05
39,pathfinder,PE,4.8e-05
40,pathfinder,MN,0.004931
40,pathfinder,MW,5.7e-05
40,pathfinder,MF,3.6e-05
40,pathfinder,WMF,2.8e-05
40,pathfinder,PE,7.1e-05
41,pathfinder,MN,0.007174
41,pathfinder,MW,5.1e-05
41,pathfinder,MF,4.7e-05
41,pathfinder,WMF,7.4e-05
41,pathfinder,PE,5e-05
42,pathfinder,MN,0.005202
42,pathfinder,MW,5.8e-05
42,pathfinder,MF,3.1e-05
42,pathfinder,WMF,4.9e-05
42,pathfinder,PE,6.3e-05
43,pathfinder,MN,0.007098
43,pathfinder,MW,8.5e-05
43,pathfinder,MF,3.8e-05
43,pathfinder,WMF,8.1e-05
43,pathfinder,PE,5.2e-05
44,pathfinder,MN,0.006521
44,pathfinder,MW,5e-05
44,pathfinder,MF,3.1e-05
44,pathfinder,WMF,7.1e-05
44,pathfinder,PE,6.5e-05
45,pathfinder,MN,0.006603
45,pathfinder,MW,5.2e-05
45,pathfinder,MF,3.2e-05
45,pathfinder,WMF,5e-05
45,pathfinder,PE,6.2e-05
46,pathfinder,MN,0.006276
46,pathfinder,MW,6e-05
46,pathfinder,MF,3.8e-05
46,pathfinder,WMF,3e-05
46,pathfinder,PE,5.1e-05
47,pathfinder,MN,0.005316
47,pathfinder,MW,5.1e-05
47,pathfinder,MF,3.7e-05
47,pathfinder,WMF,2.9e-05
47,pathfinder,PE,4.9e-05
48,pathfinder,MN,0.004426
48,pathfinder,MW,5.8e-05
48,pathfinder,MF,5.4e-05
48,pathfinder,WMF,3.5e-05
48,pathfinder,PE,5.1e-05
49,pathfinder,MN,0.004836
49,pathfinder,MW,5.9e-05
49,pathfinder,MF,2.8e-05
49,pathfinder,WMF,3.6e-05
49,pathfinder,PE,5.1e-05
50,pathfinder,MN,0.0069
50,pathfinder,MW,5.7e-05
50,pathfinder,MF,3.8e-05
50,pathfinder,WMF,4.7e-05
50,pathfinder,PE,5.1e-05
51,pathfinder,MN,0.006275
51,pathfinder,MW,6e-05
51,pathfinder,MF,3.7e-05
51,pathfinder,WMF,4.8e-05
51,pathfinder,PE,5e-05
52,pathfinder,MN,0.0051
52,pathfinder,MW,6.2e-05
52,pathfinder,MF,3.7e-05
52,pathfinder,WMF,4.6e-05
52,pathfinder,PE,4.9e-05
53,pathfinder,MN,0.007185
53,pathfinder,MW,5.9e-05
53,pathfinder,MF,3.8e-05
53,pathfinder,WMF,3.4e-05
53,pathfinder,PE,5.2e-05
54,pathfinder,MN,0.005035
54,pathfinder,MW,5.8e-05
54,pathfinder,MF,3.6e-05
54,pathfinder,WMF,3.2e-05
54,pathfinder,PE,5.3e-05
55,pathfinder,MN,0.005296
55,pathfinder,MW,6.1e-05
55,pathfinder,MF,5.9e-05
55,pathfinder,WMF,3.1e-05
55,pathfinder,PE,5.4e-05
56,pathfinder,MN,0.006805
56,pathfinder,MW,6.1e-05
56,pathfinder,MF,3.8e-05
56,pathfinder,WMF,5.4e-05
56,pathfinder,PE,5.9e-05
57,pathfinder,MN,0.00591
57,pathfinder,MW,5.8e-05
57,pathfinder,MF,4e-05
57,pathfinder,WMF,3.3e-05
57,pathfinder,PE,5.1e-05
58,pathfinder,MN,0.007295
58,pathfinder,MW,6.6e-05
58,pathfinder,MF,3.3e-05
58,pathfinder,WMF,5.6e-05
58,pathfinder,PE,5e-05
59,pathfinder,MN,0.007312
59,pathfinder,MW,5e-05
59,pathfinder,MF,4.1e-05
59,pathfinder,WMF,5.1e-05
59,pathfinder,PE,5e-05
60,pathfinder,MN,0.007744
60,pathfinder,MW,4.7e-05
60,pathfinder,MF,3.7e-05
60,pathfinder,WMF,3.6e-05
60,pathfinder,PE,5.7e-05
61,pathfinder,MN,0.00495
61,pathfinder,MW,6.1e-05
61,pathfinder,MF,3.8e-05
61,pathfinder,WMF,4.7e-05
61,pathfinder,PE,5.3e-05
62,pathfinder,MN,0.00561
62,pathfinder,MW,5.9e-05
62,pathfinder,MF,3.7e-05
62,pathfinder,WMF,3.6e-05
62,pathfinder,PE,5.2e-05
63,pathfinder,MN,0.007469
63,pathfinder,MW,6e-05
63,pathfinder,MF,3.6e-05
63,pathfinder,WMF,3.7e-05
63,pathfinder,PE,5e-05
64,pathfinder,MN,0.005075
64,pathfinder,MW,5.7e-05
64,pathfinder,MF,3.7e-05
64,pathfinder,WMF,2.8e-05
64,pathfinder,PE,5e-05
65,pathfinder,MN,0.00731
65,pathfinder,MW,6.1e-05
65,pathfinder,MF,3.6e-05
65,pathfinder,WMF,3.1e-05
65,pathfinder,PE,7e-05
66,pathfinder,MN,0.006486
66,pathfinder,MW,5e-05
66,pathfinder,MF,3.8e-05
66,pathfinder,WMF,3.1e-05
66,pathfinder,PE,5e-05
67,pathfinder,MN,0.006282
67,pathfinder,MW,5.7e-05
67,pathfinder,MF,3e-05
67,pathfinder,WMF,2.9e-05
67,pathfinder,PE,5.1e-05
68,pathfinder,MN,0.006874
68,pathfinder,MW,4.8e-05
68,pathfinder,MF,3.6e-05
68,pathfinder,WMF,3.6e-05
68,pathfinder,PE,5.1e-05
69,pathfinder,MN,0.004494
69,pathfinder,MW,7.8e-05
69,pathfinder,MF,4.7e-05
69,pathfinder,WMF,4.8e-05
69,pathfinder,PE,4.8e-05
70,pathfinder,MN,0.006478
70,pathfinder,MW,6.1e-05
70,pathfinder,MF,3.6e-05
70,pathfinder,WMF,3.7e-05
70,pathfinder,PE,5.1e-05
71,pathfinder,MN,0.005426
71,pathfinder,MW,5.9e-05
71,pathfinder,MF,3.9e-05
71,pathfinder,WMF,4.5e-05
71,pathfinder,PE,5.6e-05
72,pathfinder,MN,0.006501
72,pathfinder,MW,6.1e-05
72,pathfinder,MF,3.7e-05
72,pathfinder,WMF,3.8e-05
72,pathfinder,PE,5.4e-05
73,pathfinder,MN,0.007347
73,pathfinder,MW,5.9e-05
73,pathfinder,MF,3.6e-05
73,pathfinder,WMF,2.8e-05
73,pathfinder,PE,6e-05
74,pathfinder,MN,0.005432
74,pathfinder,MW,6e-05
74,pathfinder,MF,3.7e-05
74,pathfinder,WMF,3.2e-05
74,pathfinder,PE,5.2e-05
75,pathfinder,MN,0.004693
75,pathfinder,MW,6.1e-05
75,pathfinder,MF,3.6e-05
75,pathfinder,WMF,4e-05
75,pathfinder,PE,5e-05
76,pathfinder,MN,0.004506
76,pathfinder,MW,6.1e-05
76,pathfinder,MF,5.1e-05
76,pathfinder,WMF,2.7e-05
76,pathfinder,PE,5.1e-05
77,pathfinder,MN,0.004439
77,pathfinder,MW,5.2e-05
77,pathfinder,MF,3.8e-05
77,pathfinder,WMF,3.7e-05
77,pathfinder,PE,5.2e-05
78,pathfinder,MN,0.006077
78,pathfinder,MW,5.9e-05
78,pathfinder,MF,3e-05
78,pathfinder,WMF,4.8e-05
78,pathfinder,PE,6.9e-05
79,pathfinder,MN,0.007471
79,pathfinder,MW,6e-05
79,pathfinder,MF,6.6e-05
79,pathfinder,WMF,4.7e-05
79,pathfinder,PE,5e-05
80,pathfinder,MN,0.007077
80,pathfinder,MW,5.9e-05
80,pathfinder,MF,3.6e-05
80,pathfinder,WMF,5.2e-05
80,pathfinder,PE,6.1e-05
81,pathfinder,MN,0.005142
81,pathfinder,MW,5.1e-05
81,pathfinder,MF,3.3e-05
81,pathfinder,WMF,3e-05
81,pathfinder,PE,5e-05
82,pathfinder,MN,0.007047
82,pathfinder,MW,6e-05
82,pathfinder,MF,3.8e-05
82,pathfinder,WMF,5.3e-05
82,pathfinder,PE,5.3e-05
83,pathfinder,MN,0.006813
83,pathfinder,MW,5.1e-05
83,pathfinder,MF,4.3e-05
83,pathfinder,WMF,4.2e-05
83,pathfinder,PE,5.4e-05
84,pathfinder,MN,0.007513
84,pathfinder,MW,6e-05
84,pathfinder,MF,3.1e-05
84,pathfinder,WMF,3.6e-05
84,pathfinder,PE,4.9e-05
85,pathfinder,MN,0.004804
85,pathfinder,MW,5e-05
85,pathfinder,MF,3.7e-05
85,pathfinder,WMF,3.6e-05
85,pathfinder,PE,5.1e-05
86,pathfinder,MN,0.004717
86,pathfinder,MW,5.9e-05
86,pathfinder,MF,3.7e-05
86,pathfinder,WMF,3.7e-05
86,pathfinder,PE,5.1e-05
87,pathfinder,MN,0.00478
87,pathfinder,MW,5.9e-05
87,pathfinder,MF,3.6e-05
87,pathfinder,WMF,3.8e-05
87,pathfinder,PE,6.1e-05
88,pathfinder,MN,0.004726
88,pathfinder,MW,5.1e-05
88,pathfinder,MF,3.6e-05
88,pathfinder,WMF,3.7e-05
88,pathfinder,PE,6.1e-05
89,pathfinder,MN,0.004774
89,pathfinder,MW,4.8e-05
89,pathfinder,MF,3.8e-05
89,pathfinder,WMF,3.6e-05
89,pathfinder,PE,5.2e-05
90,pathfinder,MN,0.004862
90,pathfinder,MW,6.2e-05
90,pathfinder,MF,3.8e-05
90,pathfinder,WMF,6e-05
90,pathfinder,PE,4.9e-05
91,pathfinder,MN,0.005714
91,pathfinder,MW,4.8e-05
91,pathfinder,MF,3.8e-05
91,pathfinder,WMF,3e-05
91,pathfinder,PE,5e-05
92,pathfinder,MN,0.007249
92,pathfinder,MW,5.9e-05
92,pathfinder,MF,3.8e-05
92,pathfinder,WMF,3.8e-05
92,pathfinder,PE,5e-05
93,pathfinder,MN,0.006734
93,pathfinder,MW,6e-05
93,pathfinder,MF,3.8e-05
93,pathfinder,WMF,4e-05
93,pathfinder,PE,5e-05
94,pathfinder,MN,0.007212
94,pathfinder,MW,5e-05
94,pathfinder,MF,3.7e-05
94,pathfinder,WMF,3e-05
94,pathfinder,PE,5.3e-05
95,pathfinder,MN,0.007315
95,pathfinder,MW,5.8e-05
95,pathfinder,MF,3.7e-05
95,pathfinder,WMF,6.4e-05
95,pathfinder,PE,5.2e-05
96,pathfinder,MN,0.006762
96,pathfinder,MW,6.4e-05
96,pathfinder,MF,4.3e-05
96,pathfinder,WMF,3.2e-05
96,pathfinder,PE,5.1e-05
97,pathfinder,MN,0.005871
97,pathfinder,MW,6e-05
97,pathfinder,MF,5.4e-05
97,pathfinder,WMF,4.4e-05
97,pathfinder,PE,5.3e-05
98,pathfinder,MN,0.007542
98,pathfinder,MW,6.2e-05
98,pathfinder,MF,3.9e-05
98,pathfinder,WMF,3.7e-05
98,pathfinder,PE,5.4e-05
99,pathfinder,MN,0.005041
99,pathfinder,MW,6.2e-05
99,pathfinder,MF,3.9e-05
99,pathfinder,WMF,3.6e-05
99,pathfinder,PE,4.9e-05
100,pathfinder,MN,0.004769
100,pathfinder,MW,5.4e-05
100,pathfinder,MF,5.9e-05
100,pathfinder,WMF,3.6e-05
100,pathfinder,PE,4.9e-05
101,pathfinder,MN,0.004632
101,pathfinder,MW,5.4e-05
101,pathfinder,MF,3.7e-05
101,pathfinder,WMF,2.9e-05
101,pathfinder,PE,4.8e-05
102,pathfinder,MN,0.004689
102,pathfinder,MW,6e-05
102,pathfinder,MF,5.3e-05
102,pathfinder,WMF,3.7e-05
102,pathfinder,PE,4.8e-05
103,pathfinder,MN,0.00498
103,pathfinder,MW,5.9e-05
103,pathfinder,MF,3.6e-05
103,pathfinder,WMF,5.8e-05
103,pathfinder,PE,5.3e-05
104,pathfinder,MN,0.006822
104,pathfinder,MW,5.7e-05
104,pathfinder,MF,3.7e-05
104,pathfinder,WMF,3.5e-05
104,pathfinder,PE,5.1e-05
105,pathfinder,MN,0.004846
105,pathfinder,MW,6.1e-05
105,pathfinder,MF,4.1e-05
105,pathfinder,WMF,4.2e-05
105,pathfinder,PE,5e-05
106,pathfinder,MN,0.006853
106,pathfinder,MW,5.2e-05
106,pathfinder,MF,3.5e-05
106,pathfinder,WMF,4.6e-05
106,pathfinder,PE,7.5e-05
107,pathfinder,MN,0.005667
107,pathfinder,MW,6e-05
107,pathfinder,MF,3.6e-05
107,pathfinder,WMF,4.2e-05
107,pathfinder,PE,5.1e-05
108,pathfinder,MN,0.006898
108,pathfinder,MW,5.2e-05
108,pathfinder,MF,3.7e-05
108,pathfinder,WMF,3.8e-05
108,pathfinder,PE,5.1e-05
109,pathfinder,MN,0.004795
109,pathfinder,MW,6e-05
109,pathfinder,MF,3.7e-05
109,pathfinder,WMF,4.1e-05
109,pathfinder,PE,5.2e-05
110,pathfinder,MN,0.007337
110,pathfinder,MW,5.3e-05
110,pathfinder,MF,4.1e-05
110,pathfinder,WMF,3.7e-05
110,pathfinder,PE,5.4e-05
111,pathfinder,MN,0.006663
111,pathfinder,MW,5.9e-05
111,pathfinder,MF,3.8e-05
111,pathfinder,WMF,3.2e-05
111,pathfinder,PE,5e-05
112,pathfinder,MN,0.006727
112,pathfinder,MW,6.1e-05
112,pathfinder,MF,3.7e-05
112,pathfinder,WMF,3.7e-05
112,pathfinder,PE,5.8e-05
113,pathfinder,MN,0.004682
113,pathfinder,MW,5.8e-05
113,pathfinder,MF,3e-05
113,pathfinder,WMF,3e-05
113,pathfinder,PE,4.9e-05
114,pathfinder,MN,0.007107
114,pathfinder,MW,4.8e-05
114,pathfinder,MF,3.6e-05
114,pathfinder,WMF,3.7e-05
114,pathfinder,PE,6.6e-05
115,pathfinder,MN,0.00728
115,pathfinder,MW,6e-05
115,pathfinder,MF,3.7e-05
115,pathfinder,WMF,3.7e-05
115,pathfinder,PE,6.9e-05
116,pathfinder,MN,0.004568
116,pathfinder,MW,5.9e-05
116,pathfinder,MF,3.7e-05
116,pathfinder,WMF,4.7e-05
116,pathfinder,PE,5e-05
117,pathfinder,MN,0.006387
117,pathfinder,MW,5.9e-05
117,pathfinder,MF,3.7e-05
117,pathfinder,WMF,4.6e-05
117,pathfinder,PE,5.4e-05
118,pathfinder,MN,0.006572
118,pathfinder,MW,5.9e-05
118,pathfinder,MF,2.9e-05
118,pathfinder,WMF,4.3e-05
118,pathfinder,PE,5e-05
119,pathfinder,MN,0.006123
119,pathfinder,MW,6.2e-05
119,pathfinder,MF,3.7e-05
119,pathfinder,WMF,3.7e-05
119,pathfinder,PE,5.3e-05
120,pathfinder,MN,0.006438
120,pathfinder,MW,4.9e-05
120,pathfinder,MF,3.7e-05
120,pathfinder,WMF,3.3e-05
120,pathfinder,PE,5.5e-05
121,pathfinder,MN,0.00662
121,pathfinder,MW,5.1e-05
121,pathfinder,MF,4.2e-05
121,pathfinder,WMF,4.9e-05
121,pathfinder,PE,5.1e-05
122,pathfinder,MN,0.005037
122,pathfinder,MW,5.9e-05
122,pathfinder,MF,3.6e-05
122,pathfinder,WMF,4.3e-05
122,pathfinder,PE,4.8e-05
123,pathfinder,MN,0.007321
123,pathfinder,MW,5.9e-05
123,pathfinder,MF,5e-05
123,pathfinder,WMF,4e-05
123,pathfinder,PE,5.1e-05
124,pathfinder,MN,0.00493
124,pathfinder,MW,6.2e-05
124,pathfinder,MF,3.7e-05
124,pathfinder,WMF,3e-05
124,pathfinder,PE,5.5e-05
125,pathfinder,MN,0.006624
125,pathfinder,MW,6e-05
125,pathfinder,MF,3.8e-05
125,pathfinder,WMF,3.4e-05
125,pathfinder,PE,5.4e-05
126,pathfinder,MN,0.006332
126,pathfinder,MW,5.7e-05
126,pathfinder,MF,3.1e-05
126,pathfinder,WMF,5e-05
126,pathfinder,PE,5.2e-05
127,pathfinder,MN,0.006626
127,pathfinder,MW,6.3e-05
127,pathfinder,MF,3.7e-05
127,pathfinder,WMF,3.1e-05
127,pathfinder,PE,4.7e-05
128,pathfinder,MN,0.006465
128,pathfinder,MW,5.8e-05
