run,bn,heuristic,time,,Column Labels,,,,,
0,hepar2,MN,0.00395,,MF,MN,MW,PE,WMF,Grand Total
0,hepar2,MW,5.70E-05,Sum of time,0.031708,2.482479,0.031406,0.044106,0.032071,2.62177
0,hepar2,MF,3.00E-05,,,,,,,
0,hepar2,WMF,3.60E-05,,,,,,,
0,hepar2,PE,3.60E-05,,,,,,,
1,hepar2,MN,0.002329,,,,,,,
1,hepar2,MW,3.50E-05,,,,,,,
1,hepar2,MF,3.60E-05,,,,,,,
1,hepar2,WMF,5.50E-05,,,,,,,
1,hepar2,PE,3.80E-05,,,,,,,
2,hepar2,MN,0.002262,,,,,,,
2,hepar2,MW,3.00E-05,,,,,,,
2,hepar2,MF,2.30E-05,,,,,,,
2,hepar2,WMF,3.20E-05,,,,,,,
2,hepar2,PE,3.90E-05,,,,,,,
3,hepar2,MN,0.002365,,,,,,,
3,hepar2,MW,2.20E-05,,,,,,,
3,hepar2,MF,2.30E-05,,,,,,,
3,hepar2,WMF,2.80E-05,,,,,,,
3,hepar2,PE,4.70E-05,,,,,,,
4,hepar2,MN,0.002286,,,,,,,
4,hepar2,MW,2.20E-05,,,,,,,
4,hepar2,MF,3.60E-05,,,,,,,
4,hepar2,WMF,2.30E-05,,,,,,,
4,hepar2,PE,3.90E-05,,,,,,,
5,hepar2,MN,0.002182,,,,,,,
5,hepar2,MW,2.90E-05,,,,,,,
5,hepar2,MF,3.60E-05,,,,,,,
5,hepar2,WMF,3.10E-05,,,,,,,
5,hepar2,PE,4.90E-05,,,,,,,
6,hepar2,MN,0.002289,,,,,,,
6,hepar2,MW,2.40E-05,,,,,,,
6,hepar2,MF,2.40E-05,,,,,,,
6,hepar2,WMF,2.90E-05,,,,,,,
6,hepar2,PE,3.80E-05,,,,,,,
7,hepar2,MN,0.002363,,,,,,,
7,hepar2,MW,2.20E-05,,,,,,,
7,hepar2,MF,3.20E-05,,,,,,,
7,hepar2,WMF,3.30E-05,,,,,,,
7,hepar2,PE,4.50E-05,,,,,,,
8,hepar2,MN,0.002422,,,,,,,
8,hepar2,MW,4.40E-05,,,,,,,
8,hepar2,MF,3.50E-05,,,,,,,
8,hepar2,WMF,2.60E-05,,,,,,,
8,hepar2,PE,4.00E-05,,,,,,,
9,hepar2,MN,0.002331,,,,,,,
9,hepar2,MW,4.20E-05,,,,,,,
9,hepar2,MF,4.80E-05,,,,,,,
9,hepar2,WMF,4.40E-05,,,,,,,
9,hepar2,PE,6.30E-05,,,,,,,
10,hepar2,MN,0.004119,,,,,,,
10,hepar2,MW,5.40E-05,,,,,,,
10,hepar2,MF,4.00E-05,,,,,,,
10,hepar2,WMF,5.30E-05,,,,,,,
10,hepar2,PE,4.60E-05,,,,,,,
11,hepar2,MN,0.003036,,,,,,,
11,hepar2,MW,8.90E-05,,,,,,,
11,hepar2,MF,4.00E-05,,,,,,,
11,hepar2,WMF,4.90E-05,,,,,,,
11,hepar2,PE,4.70E-05,,,,,,,
12,hepar2,MN,0.003168,,,,,,,
12,hepar2,MW,2.60E-05,,,,,,,
12,hepar2,MF,3.80E-05,,,,,,,
12,hepar2,WMF,3.10E-05,,,,,,,
12,hepar2,PE,3.80E-05,,,,,,,
13,hepar2,MN,0.003106,,,,,,,
13,hepar2,MW,2.80E-05,,,,,,,
13,hepar2,MF,3.30E-05,,,,,,,
13,hepar2,WMF,5.60E-05,,,,,,,
13,hepar2,PE,3.80E-05,,,,,,,
14,hepar2,MN,0.00312,,,,,,,
14,hepar2,MW,2.70E-05,,,,,,,
14,hepar2,MF,3.60E-05,,,,,,,
14,hepar2,WMF,3.00E-05,,,,,,,
14,hepar2,PE,4.60E-05,,,,,,,
15,hepar2,MN,0.002377,,,,,,,
15,hepar2,MW,4.60E-05,,,,,,,
15,hepar2,MF,4.20E-05,,,,,,,
15,hepar2,WMF,5.90E-05,,,,,,,
15,hepar2,PE,3.70E-05,,,,,,,
16,hepar2,MN,0.002324,,,,,,,
16,hepar2,MW,2.90E-05,,,,,,,
16,hepar2,MF,3.50E-05,,,,,,,
